SupplierID,SupplierName,ContactNumber,Email,Address
4001,HealthCorp,774753209,healthcorp@example.com,"HealthCorp Street, City 18"
4002,Global Health,781378337,globalhealth@example.com,"Global Health Street, City 83"
4003,SafeMed,767807106,safemed@example.com,"SafeMed Street, City 83"
4004,ABC Medical Supplies,799574005,abcmedicalsupplies@example.com,"ABC Medical Supplies Street, City 44"
4005,SafeMed,780432408,safemed@example.com,"SafeMed Street, City 96"
4006,MediSupply,729989243,medisupply@example.com,"MediSupply Street, City 9"
4007,SafeMed,747091198,safemed@example.com,"SafeMed Street, City 2"
4008,ABC Medical Supplies,711811493,abcmedicalsupplies@example.com,"ABC Medical Supplies Street, City 74"
4009,MedSource,760256113,medsource@example.com,"MedSource Street, City 57"
4010,VitalSource,765396727,vitalsource@example.com,"VitalSource Street, City 35"
4011,ProMed,701419707,promed@example.com,"ProMed Street, City 5"
4012,ABC Medical Supplies,780943184,abcmedicalsupplies@example.com,"ABC Medical Supplies Street, City 42"
4013,ABC Medical Supplies,702080462,abcmedicalsupplies@example.com,"ABC Medical Supplies Street, City 56"
4014,Global Health,787217885,globalhealth@example.com,"Global Health Street, City 69"
4015,Global Health,723039134,globalhealth@example.com,"Global Health Street, City 30"
4016,MediSupply,712179648,medisupply@example.com,"MediSupply Street, City 39"
4017,Global Health,779145416,globalhealth@example.com,"Global Health Street, City 44"
4018,Global Health,751086827,globalhealth@example.com,"Global Health Street, City 75"
4019,ABC Medical Supplies,701338906,abcmedicalsupplies@example.com,"ABC Medical Supplies Street, City 95"
4020,CarePlus,724632338,careplus@example.com,"CarePlus Street, City 59"
4021,ABC Medical Supplies,735106727,abcmedicalsupplies@example.com,"ABC Medical Supplies Street, City 13"
4022,ABC Medical Supplies,730896652,abcmedicalsupplies@example.com,"ABC Medical Supplies Street, City 60"
4023,MediSupply,790346026,medisupply@example.com,"MediSupply Street, City 11"
4024,QuickMed,756265276,quickmed@example.com,"QuickMed Street, City 84"
4025,Global Health,732865818,globalhealth@example.com,"Global Health Street, City 99"
4026,VitalSource,770371882,vitalsource@example.com,"VitalSource Street, City 45"
4027,VitalSource,788181028,vitalsource@example.com,"VitalSource Street, City 83"
4028,SafeMed,723478222,safemed@example.com,"SafeMed Street, City 89"
4029,SafeMed,707991218,safemed@example.com,"SafeMed Street, City 3"
4030,MedSource,767945484,medsource@example.com,"MedSource Street, City 36"
